date,month,unemployment_rate,debt_service_burden,consumer_credit,interest_rates,charge_off_rates
201801,1,4,9.772692414,2.533886996,4.5,3.664279275
201802,2,4.1,9.727890049,2.552633187,4.5,3.65003925
201803,3,4,9.709184031,2.527467183,4.579545455,3.635682638
201804,4,4,9.707563854,2.486718316,4.75,3.627843586
201805,5,3.8,9.70766498,2.466229626,4.75,3.634637848
201806,6,4,9.698625845,2.371999107,4.892857143,3.65751949
201807,7,3.8,9.687634225,2.472497513,5,3.680372944
201808,8,3.8,9.687997332,2.460223583,5,3.68101517
201809,9,3.7,9.706854272,2.453855488,5.026315789,3.648614399
201810,10,3.8,9.73320039,2.471183959,5.25,3.605847662
201811,11,3.8,9.750419875,2.44331853,5.25,3.585597098
201812,12,3.9,9.747329374,2.528731987,5.3375,3.608556123
201901,13,4,9.729824971,2.355332637,5.5,3.657140972
201902,14,3.8,9.710745277,2.445231541,5.5,3.698200138
201903,15,3.8,9.698461934,2.481859644,5.5,3.714654754
201904,16,3.6,9.696143693,2.549276975,5.5,3.716994397
201905,17,3.6,9.706047973,2.435236368,5.5,3.725026853
201906,18,3.6,9.725124113,2.470366755,5.5,3.747978948
201907,19,3.7,9.736994909,2.383522301,5.5,3.759078809
201908,20,3.7,9.720565479,2.427368705,5.25,3.718963756
201909,21,3.5,9.673293915,2.397754611,5.15,3.621974885
201910,22,3.6,9.644324541,2.371728686,4.988636364,3.554497332
201911,23,3.6,9.698053403,2.415990404,4.75,3.63052392
201912,24,3.6,9.852359781,2.4077466,4.75,3.884991369
202001,25,3.5,9.978751233,2.429063857,4.75,4.103876641
202002,26,3.5,9.901571472,2.365873053,4.75,3.992865579
202003,27,4.4,9.542167915,2.320375363,3.75,3.4832223
202004,28,14.7,9.084334458,2.116472158,3.25,3.137532473
202005,29,13.2,8.818207395,2.377833392,3.25,3.767166138
202006,30,11,8.921574966,2.542016109,2.808625702,5.788258076
202007,31,10.2,9.252138307,2.815053851,3.068609545,8.500389668
202008,32,8.4,9.559777733,3.438074068,3.254417481,10.84456317
202009,33,7.9,9.659441172,4.303606524,3.318057834,11.96850216
202010,34,6.9,9.615621838,5.216224953,3.285076736,12.06825591
202011,35,6.7,9.563003374,5.911335022,3.232684093,11.60933828
202012,36,6.7,9.598736214,6.212930149,3.217502704,10.99584558
202101,37,6.4,9.706189865,6.23267593,3.233733239,10.472146